taxa,Species,StudyPop,PC1,PC2,PC3
SRR5349835,P. sativum,Included,37.2092374,-13.20237681,2.480114053
SRR5349838,P. sativum,Included,36.84980342,-8.238560629,-6.998865738
SRR5349839,P. sativum,Included,34.05622113,-7.468221778,-8.702408758
SRR5349840,P. sativum,Included,36.88287391,-8.103164274,-7.418421691
SRR5349841,P. sativum,Included,35.22087383,-8.03804472,-7.88999465
SRR5349847,P. sativum,Included,-94.7723875,122.9124173,33.23731498
SRR5349849,P. sativum subsp. elatius,Included,28.54210013,-3.59446742,-14.67925886
SRR5349851,P. sativum subsp. elatius,Included,-25.61869063,15.40790898,-33.07323138
SRR5349854,P. sativum,Included,-21.56647132,21.28202785,-30.25463926
SRR5349855,P. sativum subsp. elatius,Included,-27.45079715,15.63142533,-32.37860963
SRR5349856,P. sativum subsp. elatius,Included,-23.77130609,11.4758881,-27.31057405
SRR5349858,P. sativum subsp. elatius,Included,5.955733801,-12.35989523,-2.338198043
SRR5349859,P. sativum,Included,24.12178552,-7.88482546,-9.572865879
SRR5349861,P. sativum,Included,6.854789096,2.839155997,-57.61458497
SRR5349925,P. sativum,Included,-1.069220944,9.547699573,-76.81413372
SRR5349926,P. sativum,Included,11.19683539,-0.236094409,-54.06415373
SRR5349927,P. sativum,Included,6.92128271,3.961647801,-46.99360473
SRR5349928,P. sativum,Included,11.0444912,0.26446529,-55.16882102
SRR5349929,P. sativum subsp. elatius,Included,6.662736932,2.107432127,-15.44685891
SRR5349930,P. sativum,Included,-87.97055968,120.1203132,32.0505035
SRR5349931,P. sativum,Included,-90.68124554,117.5633191,28.67621898
SRR5349932,P. sativum,Included,-94.46076963,127.3284956,33.27737082
SRR5349935,USDA-ARS,Included,33.86090095,-11.09212433,3.846490326
SRR5349936,P. sativum,Included,39.9844294,-18.05976595,4.553225465
SRR5349941,P. sativum,Included,19.43106036,-4.185402869,-21.08308701
SRR5349942,P. sativum,Included,11.12909627,-0.796616109,-24.53483335
SRR5349943,P. sativum,Included,-3.334000036,10.06163662,-68.77792117
SRR5349944,P. sativum,Included,-8.9798356,21.23843788,-56.42887044
SRR5349945,P. sativum subsp. sativum - Primary,Included,30.72161886,-5.887635746,-14.44175462
SRR5349946,P. sativum,Included,-7.939099189,18.12456575,-51.76388074
SRR5349947,P. sativum subsp. elatius,Included,-27.41699862,17.91753096,-34.25430127
SRR5349948,P. sativum,Included,-88.48962847,-19.42504636,-12.48643219
SRR5349949,P. sativum subsp. sativum - Primary,Included,36.70566511,-11.36838534,-1.250226716
SRR5349950,P. sativum subsp. sativum - Primary,Included,27.68573189,-2.61116052,-14.99033352
SRR5349951,P. sativum,Included,18.24231645,-3.53071744,-23.75608742
SRR5349952,P. sativum,Included,28.50415883,-7.066341287,-27.05028877
SRR5349954,P. sativum,Included,13.84792603,-1.645164675,-31.56922527
SRR5349955,P. sativum,Included,47.25561563,-21.86553029,37.14059186
SRR5349956,P. sativum,Included,-2.279550881,8.845194955,-83.85220395
SRR5349957,P. sativum,Included,21.01649913,-3.167049474,-24.02328802
SRR5349958,P. sativum,Included,16.53860857,-0.949515248,-38.9815211
SRR5349959,P. sativum,Included,-10.83953164,34.71671175,-3.259493559
SRR5349960,P. sativum subsp. sativum - Primary,Included,44.99573782,-21.64812867,27.93819178
SRR5349961,P. sativum subsp. sativum - Primary,Included,50.28802662,-22.96849638,47.77632952
SRR5349962,P. sativum,Included,35.48871625,-10.75324665,-15.78855764
SRR5349963,P. sativum subsp. sativum - Primary,Included,35.031696,-15.89433917,22.39997053
SRR5349964,P. sativum subsp. sativum - Primary,Included,46.31471524,-21.90656251,35.64435639
SRR5349965,P. sativum subsp. sativum - Primary,Included,35.34149505,-11.34638869,-16.05041452
SRR5349966,P. sativum subsp. sativum - Primary,Included,47.11945952,-21.60884103,45.29352119
SRR5349967,P. sativum subsp. sativum - Primary,Included,48.24345327,-22.60895399,45.75206526
SRR5349969,P. sativum,Included,2.162950244,5.983486534,-39.1298491
SRR5349971,P. sativum,Included,39.74383792,-16.01371437,14.67632191
SRR5349972,P. sativum,Included,-0.675797607,9.121282801,-83.80483348
SRR5349973,P. sativum,Included,30.24826994,-9.716363515,-2.373242145
SRR5349974,P. sativum subsp. sativum - Primary,Included,37.12884142,-10.67208112,-2.495279485
SRR5349975,P. sativum subsp. sativum - Primary,Included,44.78423597,-19.45287224,23.68883346
SRR5349976,P. sativum subsp. sativum - Primary,Included,43.50323046,-19.94140397,28.27481286
SRR5349977,P. sativum subsp. sativum - Primary,Included,30.30700032,-6.508020053,-13.74969196
SRR5349978,P. sativum,Included,24.68314422,3.918507073,-3.132006072
SRR5349979,P. sativum,Included,32.3171484,-7.689841387,-15.54199
SRR5349980,P. sativum subsp. abyssinicum,Included,-88.81517902,-26.619283,-9.194907665
SRR5349981,P. sativum,Included,29.31263958,-4.30442168,-9.263202859
SRR5349983,P. sativum,Included,-1.010673308,9.938279745,-82.10170288
SRR5349984,P. sativum subsp. sativum - Primary,Included,12.4927454,15.18630356,-17.34800941
SRR5349985,P. sativum,Included,12.48201309,15.18205623,-17.29049245
SRR5349986,P. sativum,Included,21.12554314,5.428150028,-17.62753351
SRR5349987,P. sativum,Included,-54.72476791,88.1857108,17.37738642
SRR5349988,P. sativum subsp. sativum - Primary,Included,22.33117816,5.77336205,-16.82615232
SRR5349989,P. sativum subsp. sativum - Primary,Included,41.28365085,-15.61392626,23.96424164
SRR5349990,P. sativum subsp. sativum - Primary,Included,41.63275127,-19.28816598,4.933478228
SRR5349991,P. sativum subsp. sativum - Primary,Included,20.49165629,6.63834441,-13.53320588
SRR5349992,P. sativum subsp. sativum - Primary,Included,35.99559697,-11.47426855,13.21323911
SRR5349993,P. sativum,Included,14.6439476,9.010554854,-15.4699356
SRR5349994,P. sativum subsp. sativum - Primary,Included,14.4340126,9.902632151,-16.12891778
SRR5349995,P. sativum,Included,-64.15083293,83.68953805,9.053799097
SRR5349996,P. sativum,Included,27.1738883,4.399162669,-12.60621371
SRR5349998,P. sativum subsp. elatius,Included,-98.10164775,-30.91857136,-13.49076096
SRR5350001,P. sativum,Included,-13.45027978,10.90721504,-40.65124803
SRR5350004,P. sativum subsp. sativum - Primary,Included,28.89603971,-5.2119468,-14.97507743
SRR5350005,P. sativum,Included,21.16972573,-3.160138829,-26.96773222
SRR5350009,P. sativum subsp. sativum - Primary,Included,32.95422053,-6.26066792,-7.919427329
SRR5350010,P. sativum subsp. sativum - Primary,Included,32.85756474,-6.46633167,-7.853041743
SRR5350011,P. sativum subsp. sativum - Primary,Included,37.2656763,-15.95851675,1.267417176
SRR5350012,P. sativum,Included,19.64009327,-4.487444893,-21.86569278
SRR5350013,P. sativum,Included,29.23210828,-10.14579991,-4.14003656
SRR5350014,P. sativum,Included,-2.624554391,7.250357822,-81.91845763
SRR5350015,P. sativum,Included,-14.31798519,16.36993892,-28.26915142
SRR5350016,P. sativum,Included,-1.68176777,9.077148636,-78.5201063
SRR5350017,P. sativum subsp. sativum - Primary,Included,31.29175765,-5.994771381,-11.4496264
SRR5350018,P. sativum,Included,14.96779934,11.91054467,-8.050255376
SRR5350020,P. sativum,Included,6.17353671,3.888540041,-35.14811939
SRR5350021,P. sativum,Included,-3.744308185,9.651343248,-84.27486954
SRR5350023,P. sativum,Included,11.50518749,-0.618719944,-33.49914138
SRR5350024,P. sativum subsp. sativum - Primary,Included,29.12252475,-1.529336696,-9.537741016
SRR5350025,P. sativum subsp. sativum - Primary,Included,41.6760229,-17.52069551,15.61310192
SRR5350026,P. sativum subsp. sativum - Primary,Included,35.76470079,-11.2263186,-8.510939401
SRR5350027,P. sativum,Included,38.36852866,-14.47049566,16.59776523
SRR5350028,P. sativum subsp. sativum - Primary,Included,35.83991134,-10.79778237,-9.176643049
SRR5350029,P. sativum subsp. sativum - Primary,Included,40.84998325,-11.36850296,-1.384487405
SRR5350030,P. sativum,Included,31.91706893,-8.322237976,-18.21764512
SRR5350031,P. sativum,Included,6.628383458,2.12076,-36.62122015
SRR5350032,P. sativum,Included,-2.470516939,10.42459832,-83.15118219
SRR5350033,P. sativum subsp. sativum - Primary,Included,33.6218461,-13.01885333,-0.031661112
SRR5350034,P. sativum subsp. sativum - Primary,Included,33.23910548,2.148410914,-10.26156636
SRR5350035,P. sativum,Included,32.79860462,-5.456245906,-14.14543773
SRR5350036,P. sativum,Included,-23.31361833,52.37378503,32.42290434
SRR5350037,P. sativum subsp. sativum - Primary,Included,40.22720259,-16.70442686,6.221634912
SRR5350038,P. sativum subsp. sativum - Primary,Included,43.87601697,-19.0672175,24.47414325
SRR5350039,P. sativum subsp. sativum - Primary,Included,37.36004272,-15.54550081,0.670512206
SRR5350040,P. sativum subsp. sativum - Primary,Included,32.78925102,-10.01840267,-7.874186228
SRR5350041,P. sativum subsp. sativum - Primary,Included,47.11701261,-23.81059455,40.05949926
SRR5350042,P. sativum subsp. sativum - Primary,Included,18.68032305,-3.470770335,-20.46091527
SRR5350043,P. sativum,Included,25.3189562,-9.464268354,-14.5223045
SRR5350046,P. sativum,Included,17.8050293,1.17189545,-20.88599615
SRR5350047,P. sativum subsp. sativum - Primary,Included,43.77454635,-19.40014386,26.41354543
SRR5350048,P. sativum,Included,18.27746823,-3.199458794,-30.6333348
SRR5350049,P. sativum,Included,31.68621201,-12.19219995,-2.809408132
SRR5350050,P. sativum,Included,18.92218401,-1.919056626,-28.2265887
SRR5350051,P. sativum subsp. sativum - Primary,Included,44.72518341,-18.21551275,21.57979524
SRR5350052,P. sativum subsp. sativum - Primary,Included,25.4290961,-1.428751719,-17.15099223
SRR5350054,P. sativum,Included,-36.84323636,32.787213,-20.26097319
SRR5350055,P. sativum subsp. sativum - Primary,Included,37.42193357,-13.54364629,-1.177683111
SRR5350056,P. sativum subsp. sativum - Primary,Included,29.68231878,-7.817685854,-14.57935386
SRR5350057,P. sativum subsp. sativum - Primary,Included,46.12213695,-21.47927269,31.60345228
SRR5350058,P. sativum subsp. sativum - Primary,Included,38.61057374,-16.26866201,10.7080946
SRR5350059,P. sativum subsp. sativum - Primary,Included,18.7066131,5.098382985,-9.623761226
SRR5350060,P. sativum,Included,41.43905164,-15.74758889,20.58833374
SRR5350061,P. sativum subsp. sativum - Primary,Included,43.56450131,-19.41633883,31.39179298
SRR5350062,P. sativum,Included,27.39691684,-7.388883602,0.802633078
SRR5350063,P. sativum,Included,35.55410598,-10.97803049,-1.667993278
SRR5350064,P. sativum - Central Asia,Included,-92.39979623,125.5554393,32.67412837
SRR5350065,P. sativum - Central Asia,Included,-91.9018467,125.4933827,32.85246489
SRR5350066,P. sativum,Included,29.21386866,-5.86832846,-16.43511708
SRR5350067,P. sativum subsp. elatius,Included,-48.02735386,-17.60512411,-17.48326022
SRR5350068,P. sativum,Included,5.433317284,3.107852887,-50.12795621
SRR5350069,P. sativum,Included,14.43965467,0.608514412,-41.91913677
SRR5350070,P. sativum,Included,8.580378248,3.09474005,-62.05825706
SRR5350071,P. sativum subsp. sativum - Primary,Included,24.57118942,1.937954221,-15.4830955
SRR5350072,P. sativum,Included,-3.647339109,7.553049257,-64.83536338
SRR5350073,P. sativum,Included,7.588250899,18.52167485,-3.023904742
SRR5350074,P. sativum,Included,9.80267568,-1.056677927,-34.12353355
SRR5350075,P. sativum,Included,18.37891059,-2.876449432,-23.72904038
SRR5350076,P. sativum subsp. sativum - Primary,Included,32.6867023,-6.541404107,-13.09124691
SRR5350077,P. sativum,Included,14.22286426,0.034967411,-31.30280638
SRR5350078,P. sativum subsp. sativum - Primary,Included,47.97525449,-21.40922243,36.80584966
SRR5350079,P. sativum,Included,35.82780458,-9.936065771,-9.694868037
SRR5350081,P. sativum,Included,17.55996614,-0.786658115,-30.43011077
SRR5350083,P. sativum subsp. sativum - Primary,Included,38.77600289,-16.70770598,19.20588207
SRR5350084,P. sativum,Included,-18.60346658,39.59185536,3.088051841
SRR5350085,P. sativum,Included,12.78521619,-0.573246957,-40.43973764
SRR5350086,P. sativum,Included,34.87761883,-13.38558908,-2.231303007
SRR5350087,P. sativum,Included,32.93082467,-12.1409199,6.525663621
SRR5350089,P. sativum subsp. sativum - Primary,Included,27.85809441,-9.233828099,-9.979986861
SRR5350090,P. sativum,Included,40.06480527,-16.100893,20.42153783
SRR5350091,P. sativum,Included,46.14393348,-21.23945912,48.65053437
SRR5350092,P. sativum,Included,13.12407524,0.540124988,-36.09679995
SRR5350094,P. sativum,Included,2.067069386,3.837720725,-36.83309616
SRR5350095,P. sativum,Included,19.44806306,0.725654136,-35.53294429
SRR5350096,P. sativum,Included,28.2432298,-10.78970089,9.980256619
SRR5350097,P. sativum subsp. sativum - Primary,Included,38.476765,-10.96699819,-1.104441102
SRR5350098,P. sativum subsp. sativum - Primary,Included,37.40995302,-14.16499607,6.0595713
SRR5350099,P. sativum,Included,39.18731352,-10.45410497,-0.945080631
SRR5350101,P. sativum,Included,28.23911791,-10.79246097,10.34141038
SRR5350102,P. sativum,Included,48.69940035,-21.5038061,43.03484435
SRR5350103,P. sativum subsp. sativum - Primary,Included,42.73234131,-17.51454319,9.348833413
SRR5350104,P. sativum,Included,35.68303336,-9.284237759,-1.539768964
SRR5350106,P. sativum subsp. sativum - Primary,Included,24.59210994,2.571577355,-10.78532481
SRR5350107,P. sativum,Included,33.16654188,2.025335494,-9.930650189
SRR5350108,P. sativum - Central Asia,Included,-91.96071988,122.3748797,31.65045193
SRR5350109,P. sativum,Included,36.58294779,-13.665767,-4.331515705
SRR5350110,P. sativum subsp. sativum - Primary,Included,47.6364479,-23.58631994,40.94128816
SRR5350111,P. sativum subsp. sativum - Primary,Included,41.65375694,-18.16189848,25.92351889
SRR5350113,P. sativum subsp. sativum - Primary,Included,45.7139683,-18.67341642,25.54907231
SRR5350114,P. sativum subsp. sativum - Primary,Included,36.53982152,-13.05241176,-4.158960411
SRR5350115,P. sativum subsp. sativum - Primary,Included,42.78190422,-16.84734977,9.248586588
SRR5350116,P. sativum,Included,36.78816977,-13.94593287,-3.855181234
SRR5350117,P. sativum,Included,14.73745119,12.04686528,15.17494449
SRR5350118,P. sativum,Included,13.61127889,2.632100185,-40.54995021
SRR5350119,P. sativum subsp. sativum - Primary,Included,36.1587429,-11.13400843,0.589290598
SRR5350121,P. sativum subsp. sativum - Primary,Included,33.06871754,-6.25130814,6.691268721
SRR5350122,P. sativum,Included,22.72531332,-6.187079334,-7.387560787
SRR5350123,P. sativum,Included,-18.15759714,10.95761734,-34.68327304
SRR5350124,P. sativum subsp. sativum - Primary,Included,34.75477273,-4.37137124,-5.83075288
SRR5350125,P. sativum,Included,-1.601956179,13.15843941,-27.02448315
SRR5350126,P. sativum,Included,-27.62787142,37.69570527,-14.59030094
SRR5350127,P. sativum - Central Asia,Included,-97.5997828,130.8943801,32.3075475
SRR5350128,P. sativum - Central Asia,Included,-97.46772797,130.4352213,34.08635866
SRR5350129,P. sativum,Included,8.947918923,1.997419374,-38.66938712
SRR5350130,P. sativum - Central Asia,Included,-64.14512975,95.60929525,25.27718928
SRR5350131,P. sativum - Central Asia,Included,-97.54152175,132.5266426,34.25384932
SRR5350133,P. sativum,Included,-99.65885259,135.8625179,34.46656726
SRR5350134,P. sativum subsp. sativum - Primary,Included,37.64423404,-13.9445696,11.67440194
SRR5350135,P. sativum,Included,13.69060321,0.515788499,-37.49871553
SRR5350136,P. sativum,Included,0.594068243,20.91334148,-19.85544958
SRR5350137,P. sativum,Included,13.08545007,1.550888154,-28.74232843
SRR5350138,P. sativum subsp. sativum - Primary,Included,33.46176114,-9.503779001,2.746297536
SRR5350140,P. sativum,Included,32.08355348,-9.722624777,-10.11088218
SRR5350141,P. sativum - Central Asia,Included,-95.18494505,129.2083449,32.83776058
SRR5350142,P. sativum subsp. sativum - Primary,Included,37.58834885,-14.29566609,7.886763805
SRR5350143,P. sativum subsp. sativum - Primary,Included,29.38736204,-9.395899204,-5.250598222
SRR5350144,P. sativum,Included,18.53315148,-2.576114487,-24.92550504
SRR5350145,P. sativum,Included,9.538795024,1.026371306,-36.77048771
SRR5350146,P. sativum,Included,11.86038865,1.494421117,-41.08607217
SRR5350147,P. sativum,Included,25.43882221,-6.275742837,-21.8614301
SRR5350148,P. sativum subsp. sativum - Primary,Included,25.42713018,-7.059431152,-21.49316286
SRR5350149,P. sativum,Included,13.49420828,0.586718927,-30.27026819
SRR5350150,P. sativum subsp. sativum - Primary,Included,26.4220529,-4.295588976,-17.80507623
SRR5350151,P. sativum,Included,-83.86130349,114.3481808,31.07290718
SRR5350152,P. sativum,Included,13.91603061,-0.215931232,-47.05767373
SRR5350153,P. sativum,Included,12.95151766,2.383723849,-33.42607376
SRR5350154,P. sativum subsp. sativum - Primary,Included,27.36458604,-2.425127093,-14.04241086
SRR5350155,P. sativum subsp. sativum - Primary,Included,33.59247218,-8.140003821,-6.803558103
SRR5350156,P. sativum subsp. sativum - Primary,Included,21.50002197,10.39782057,-2.00974213
SRR5350157,P. sativum subsp. sativum - Primary,Included,21.51536836,11.66341395,-2.2051924
SRR5350158,P. sativum subsp. sativum - Primary,Included,30.91416488,-6.958519466,-19.20891413
SRR5350159,P. sativum subsp. sativum - Primary,Included,16.70518165,14.09987406,-5.087958915
SRR5350160,P. sativum subsp. sativum - Primary,Included,11.98601847,20.89557559,-2.924707548
SRR5350161,P. sativum,Included,9.661692184,24.24102563,-2.281518689
SRR5350162,P. sativum,Included,37.84093965,-10.03677359,-1.931821948
SRR5350163,P. sativum,Included,13.2889399,4.464834121,-25.48051283
SRR5350164,P. sativum,Included,-4.573436958,9.547252567,-88.84217514
SRR5350165,P. sativum,Included,27.91081394,-7.328928679,-5.217414663
SRR5350166,P. sativum subsp. sativum - Primary,Included,45.36891394,-17.95338673,20.15227075
SRR5350168,P. sativum,Included,17.70546592,-2.551007531,-31.07685298
SRR5350169,P. sativum subsp. sativum - Primary,Included,40.01089107,-14.88231708,0.23085267
SRR5350170,P. sativum subsp. sativum - Primary,Included,40.0508804,-15.24513688,0.982915933
SRR5350171,P. sativum,Included,6.533804145,0.885600992,-31.59772524
SRR5350172,P. sativum,Included,-28.15075446,18.19203123,-35.12647983
SRR5350173,P. sativum subsp. sativum - Primary,Included,45.11349877,-20.81176391,22.43388284
SRR5350174,P. sativum,Included,-8.721132399,42.99170579,2.181413096
SRR5350175,P. sativum,Included,17.34028921,0.52846983,-16.17372854
SRR5350176,P. sativum,Included,21.6230625,-5.274581044,-19.10198173
SRR5350177,P. sativum,Included,30.11531054,-9.660718337,-7.727019196
SRR5350179,P. sativum - Central Asia,Included,-92.38457566,125.1607562,33.24379356
SRR5350180,P. sativum - Central Asia,Included,-90.41348287,122.4184695,32.30380714
SRR5350181,P. sativum subsp. sativum - Primary,Included,33.63966019,-13.94701345,11.74727463
SRR5350182,P. sativum subsp. sativum - Primary,Included,39.72742317,-17.86990265,1.118700639
SRR5350183,P. sativum subsp. sativum - Primary,Included,32.80003869,-9.528353346,-4.391064249
SRR5350184,P. sativum - Central Asia,Included,-96.30315717,131.4544445,34.36330347
SRR5350185,P. sativum,Included,-57.80708161,90.80692246,15.42930627
SRR5350186,P. sativum - Central Asia,Included,-90.80381763,121.3674268,30.20140651
SRR5350187,P. sativum,Included,13.21217318,2.574315395,-23.49281863
SRR5350188,P. sativum subsp. sativum - Primary,Included,30.73236586,-5.896269999,-14.26604479
SRR5350189,P. sativum - Central Asia,Included,-92.38081472,120.938855,29.6715545
SRR5350190,P. sativum,Included,23.91009711,-0.497958013,-17.74644592
SRR5350191,P. sativum,Included,23.70737001,6.353355746,-7.204030768
SRR5350193,P. sativum,Included,-20.03593854,52.09421122,7.781619371
SRR5350194,P. sativum subsp. sativum - Primary,Included,13.30181605,17.59142947,-1.802127648
SRR5350195,P. sativum subsp. sativum - Primary,Included,24.72623916,-0.720271557,-8.720026892
SRR5350196,P. sativum subsp. sativum - Primary,Included,25.46979067,-3.601270191,-22.12748815
SRR5350197,P. sativum,Included,25.39593368,-4.492781005,-8.110417345
SRR5350198,P. sativum,Included,-44.05552152,55.80815783,0.378885637
SRR5350199,P. sativum subsp. sativum - Primary,Included,30.45702551,-7.868263558,-8.250423576
SRR5350200,P. sativum subsp. sativum - Primary,Included,36.22710261,-9.979285686,9.556065956
SRR5350202,P. sativum,Included,-58.90461417,92.36823458,12.15313472
SRR5350203,P. sativum - Central Asia,Included,-65.22031267,89.07858823,9.638137573
SRR5350204,P. sativum,Included,-45.73853665,63.83153694,-6.213923276
SRR5350205,P. sativum subsp. sativum - Primary,Included,30.08273701,-4.754601272,-13.34420599
SRR5350206,P. sativum subsp. sativum - Primary,Included,32.43212678,-5.985104016,-6.744181563
SRR5350207,P. sativum subsp. sativum - Primary,Included,31.67881491,-9.441590221,-6.266459235
SRR5350208,P. sativum,Included,19.0235405,-4.27707919,-22.91541719
SRR5350209,P. sativum,Included,25.8884346,-5.307028033,-16.77357856
SRR5350210,P. sativum - Central Asia,Included,-97.52224152,132.6448492,33.32921673
SRR5350211,P. sativum subsp. sativum - Primary,Included,30.14722036,-0.946900405,5.108885302
SRR5350212,P. sativum subsp. sativum - Primary,Included,13.66836651,13.74413897,-8.485094331
SRR5350213,P. sativum,Included,13.48775789,-0.188143147,-34.2687512
SRR5350215,P. sativum - Central Asia,Included,-82.45766749,111.0689882,28.42455509