taxa,Species,PC1,PC2,PC3
SRR5350013,P. sativum,29.23210828,-10.14579991,-4.14003656
SRR5350014,P. sativum,-2.624554391,7.250357822,-81.91845763
SRR5350015,P. sativum,-14.31798519,16.36993892,-28.26915142
SRR5350016,P. sativum,-1.68176777,9.077148636,-78.5201063
SRR5350017,P. sativum subsp. sativum - Primary,31.29175765,-5.994771381,-11.4496264
SRR5350018,P. sativum,14.96779934,11.91054467,-8.050255376
SRR5350019,P. sativum,18.28769168,-2.44883825,-24.83609413
SRR5350020,P. sativum,6.17353671,3.888540041,-35.14811939
SRR5350021,P. sativum,-3.744308185,9.651343248,-84.27486954
SRR5350022,P. sativum,3.485472018,5.88113066,-72.32931411
SRR5350023,P. sativum,11.50518749,-0.618719944,-33.49914138
SRR5350024,P. sativum subsp. sativum - Primary,29.12252475,-1.529336696,-9.537741016
SRR5350025,P. sativum subsp. sativum - Primary,41.6760229,-17.52069551,15.61310192
SRR5350026,P. sativum subsp. sativum - Primary,35.76470079,-11.2263186,-8.510939401
SRR5350027,P. sativum,38.36852866,-14.47049566,16.59776523
SRR5350028,P. sativum subsp. sativum - Primary,35.83991134,-10.79778237,-9.176643049
SRR5350029,P. sativum subsp. sativum - Primary,40.84998325,-11.36850296,-1.384487405
SRR5350030,P. sativum,31.91706893,-8.322237976,-18.21764512
SRR5350031,P. sativum,6.628383458,2.12076,-36.62122015
SRR5350032,P. sativum,-2.470516939,10.42459832,-83.15118219
SRR5350033,P. sativum subsp. sativum - Primary,33.6218461,-13.01885333,-0.031661112
SRR5350034,P. sativum subsp. sativum - Primary,33.23910548,2.148410914,-10.26156636
SRR5350035,P. sativum,32.79860462,-5.456245906,-14.14543773
SRR5350036,P. sativum,-23.31361833,52.37378503,32.42290434
SRR5350037,P. sativum subsp. sativum - Primary,40.22720259,-16.70442686,6.221634912
SRR5350038,P. sativum subsp. sativum - Primary,43.87601697,-19.0672175,24.47414325
SRR5350039,P. sativum subsp. sativum - Primary,37.36004272,-15.54550081,0.670512206
SRR5350040,P. sativum subsp. sativum - Primary,32.78925102,-10.01840267,-7.874186228
SRR5350041,P. sativum subsp. sativum - Primary,47.11701261,-23.81059455,40.05949926
SRR5350042,P. sativum subsp. sativum - Primary,18.68032305,-3.470770335,-20.46091527
SRR5350043,P. sativum,25.3189562,-9.464268354,-14.5223045
SRR5350044,P. sativum,5.52283776,2.113506502,-34.89310677
SRR5350045,P. sativum,19.96089468,-4.684880548,-26.03680861
SRR5350046,P. sativum,17.8050293,1.17189545,-20.88599615
SRR5350047,P. sativum subsp. sativum - Primary,43.77454635,-19.40014386,26.41354543
SRR5350048,P. sativum,18.27746823,-3.199458794,-30.6333348
SRR5350049,P. sativum,31.68621201,-12.19219995,-2.809408132
SRR5350050,P. sativum,18.92218401,-1.919056626,-28.2265887
SRR5350051,P. sativum subsp. sativum - Primary,44.72518341,-18.21551275,21.57979524
SRR5350052,P. sativum subsp. sativum - Primary,25.4290961,-1.428751719,-17.15099223
SRR5350053,P. sativum,35.3697694,-11.1344475,-15.16833132
SRR5350054,P. sativum,-36.84323636,32.787213,-20.26097319
SRR5350055,P. sativum subsp. sativum - Primary,37.42193357,-13.54364629,-1.177683111
SRR5350056,P. sativum subsp. sativum - Primary,29.68231878,-7.817685854,-14.57935386
SRR5350057,P. sativum subsp. sativum - Primary,46.12213695,-21.47927269,31.60345228
SRR5350058,P. sativum subsp. sativum - Primary,38.61057374,-16.26866201,10.7080946
SRR5350059,P. sativum subsp. sativum - Primary,18.7066131,5.098382985,-9.623761226
SRR5350060,P. sativum,41.43905164,-15.74758889,20.58833374
SRR5350061,P. sativum subsp. sativum - Primary,43.56450131,-19.41633883,31.39179298
SRR5350062,P. sativum,27.39691684,-7.388883602,0.802633078
SRR5350063,P. sativum,35.55410598,-10.97803049,-1.667993278
SRR5350064,P. sativum - Central Asia,-92.39979623,125.5554393,32.67412837
SRR5350065,P. sativum - Central Asia,-91.9018467,125.4933827,32.85246489
SRR5350066,P. sativum,29.21386866,-5.86832846,-16.43511708
SRR5350067,P. sativum subsp. elatius,-48.02735386,-17.60512411,-17.48326022
SRR5350068,P. sativum,5.433317284,3.107852887,-50.12795621
SRR5350069,P. sativum,14.43965467,0.608514412,-41.91913677
SRR5350070,P. sativum,8.580378248,3.09474005,-62.05825706
SRR5350071,P. sativum subsp. sativum - Primary,24.57118942,1.937954221,-15.4830955
SRR5350072,P. sativum,-3.647339109,7.553049257,-64.83536338
SRR5350073,P. sativum,7.588250899,18.52167485,-3.023904742
SRR5350074,P. sativum,9.80267568,-1.056677927,-34.12353355
SRR5350075,P. sativum,18.37891059,-2.876449432,-23.72904038
SRR5350076,P. sativum subsp. sativum - Primary,32.6867023,-6.541404107,-13.09124691
SRR5350077,P. sativum,14.22286426,0.034967411,-31.30280638
SRR5350078,P. sativum subsp. sativum - Primary,47.97525449,-21.40922243,36.80584966
SRR5350079,P. sativum,35.82780458,-9.936065771,-9.694868037
SRR5350080,P. sativum subsp. abyssinicum,-94.09224678,-26.85788061,-9.789251046
SRR5350081,P. sativum,17.55996614,-0.786658115,-30.43011077
SRR5350082,P. sativum subsp. sativum - Primary,29.0516067,-8.5764502,-9.777203324
SRR5350083,P. sativum subsp. sativum - Primary,38.77600289,-16.70770598,19.20588207
SRR5350084,P. sativum,-18.60346658,39.59185536,3.088051841
SRR5350085,P. sativum,12.78521619,-0.573246957,-40.43973764
SRR5350086,P. sativum,34.87761883,-13.38558908,-2.231303007
SRR5350087,P. sativum,32.93082467,-12.1409199,6.525663621
SRR5350088,P. sativum subsp. sativum - Primary,34.53827135,-10.67751046,-5.687598423
SRR5350089,P. sativum subsp. sativum - Primary,27.85809441,-9.233828099,-9.979986861
SRR5350090,P. sativum,40.06480527,-16.100893,20.42153783
SRR5350091,P. sativum,46.14393348,-21.23945912,48.65053437
SRR5350092,P. sativum,13.12407524,0.540124988,-36.09679995
SRR5350093,P. sativum,-13.1300198,10.92516548,-39.86125396
SRR5350094,P. sativum,2.067069386,3.837720725,-36.83309616
SRR5350095,P. sativum,19.44806306,0.725654136,-35.53294429
SRR5350096,P. sativum,28.2432298,-10.78970089,9.980256619
SRR5350097,P. sativum subsp. sativum - Primary,38.476765,-10.96699819,-1.104441102
SRR5350098,P. sativum subsp. sativum - Primary,37.40995302,-14.16499607,6.0595713
SRR5350099,P. sativum,39.18731352,-10.45410497,-0.945080631
SRR5350100,P. sativum,0.209608732,4.773451411,-35.49340375
SRR5350101,P. sativum,28.23911791,-10.79246097,10.34141038
SRR5350102,P. sativum,48.69940035,-21.5038061,43.03484435
SRR5350103,P. sativum subsp. sativum - Primary,42.73234131,-17.51454319,9.348833413
SRR5350104,P. sativum,35.68303336,-9.284237759,-1.539768964
SRR5350105,P. sativum subsp. sativum - Primary,47.52529923,-21.78224341,30.16991017
SRR5350106,P. sativum subsp. sativum - Primary,24.59210994,2.571577355,-10.78532481
SRR5350107,P. sativum,33.16654188,2.025335494,-9.930650189
SRR5350108,P. sativum - Central Asia,-91.96071988,122.3748797,31.65045193
SRR5350109,P. sativum,36.58294779,-13.665767,-4.331515705
SRR5350110,P. sativum subsp. sativum - Primary,47.6364479,-23.58631994,40.94128816
SRR5350111,P. sativum subsp. sativum - Primary,41.65375694,-18.16189848,25.92351889
SRR5350112,P. sativum subsp. sativum - Primary,48.9510914,-22.27214865,36.26757305
SRR5350113,P. sativum subsp. sativum - Primary,45.7139683,-18.67341642,25.54907231
SRR5350114,P. sativum subsp. sativum - Primary,36.53982152,-13.05241176,-4.158960411
SRR5350115,P. sativum subsp. sativum - Primary,42.78190422,-16.84734977,9.248586588
SRR5350116,P. sativum,36.78816977,-13.94593287,-3.855181234
SRR5350117,P. sativum,14.73745119,12.04686528,15.17494449
SRR5350118,P. sativum,13.61127889,2.632100185,-40.54995021
SRR5350119,P. sativum subsp. sativum - Primary,36.1587429,-11.13400843,0.589290598
SRR5350120,P. sativum subsp. sativum - Primary,40.69165625,-14.93934193,10.76006768
SRR5350121,P. sativum subsp. sativum - Primary,33.06871754,-6.25130814,6.691268721
SRR5350122,P. sativum,22.72531332,-6.187079334,-7.387560787
SRR5350123,P. sativum,-18.15759714,10.95761734,-34.68327304
SRR5350124,P. sativum subsp. sativum - Primary,34.75477273,-4.37137124,-5.83075288
SRR5350125,P. sativum,-1.601956179,13.15843941,-27.02448315
SRR5350126,P. sativum,-27.62787142,37.69570527,-14.59030094
SRR5350127,P. sativum - Central Asia,-97.5997828,130.8943801,32.3075475
SRR5350128,P. sativum - Central Asia,-97.46772797,130.4352213,34.08635866
SRR5350129,P. sativum,8.947918923,1.997419374,-38.66938712
SRR5350130,P. sativum - Central Asia,-64.14512975,95.60929525,25.27718928
SRR5350131,P. sativum - Central Asia,-97.54152175,132.5266426,34.25384932
SRR5350132,P. sativum subsp. sativum - Primary,30.211172,-1.454736442,-9.75368604
SRR5350133,P. sativum,-99.65885259,135.8625179,34.46656726
SRR5350134,P. sativum subsp. sativum - Primary,37.64423404,-13.9445696,11.67440194
SRR5350135,P. sativum,13.69060321,0.515788499,-37.49871553
SRR5350136,P. sativum,0.594068243,20.91334148,-19.85544958
SRR5350137,P. sativum,13.08545007,1.550888154,-28.74232843
SRR5350138,P. sativum subsp. sativum - Primary,33.46176114,-9.503779001,2.746297536
SRR5350139,P. sativum,7.433448952,19.38866801,6.09430364
SRR5350140,P. sativum,32.08355348,-9.722624777,-10.11088218
SRR5350141,P. sativum - Central Asia,-95.18494505,129.2083449,32.83776058
SRR5350142,P. sativum subsp. sativum - Primary,37.58834885,-14.29566609,7.886763805
SRR5350143,P. sativum subsp. sativum - Primary,29.38736204,-9.395899204,-5.250598222
SRR5350144,P. sativum,18.53315148,-2.576114487,-24.92550504
SRR5350145,P. sativum,9.538795024,1.026371306,-36.77048771
SRR5350146,P. sativum,11.86038865,1.494421117,-41.08607217
SRR5350147,P. sativum,25.43882221,-6.275742837,-21.8614301
SRR5350148,P. sativum subsp. sativum - Primary,25.42713018,-7.059431152,-21.49316286
SRR5350149,P. sativum,13.49420828,0.586718927,-30.27026819
SRR5350150,P. sativum subsp. sativum - Primary,26.4220529,-4.295588976,-17.80507623
SRR5350151,P. sativum,-83.86130349,114.3481808,31.07290718
SRR5350152,P. sativum,13.91603061,-0.215931232,-47.05767373
SRR5350153,P. sativum,12.95151766,2.383723849,-33.42607376
SRR5350154,P. sativum subsp. sativum - Primary,27.36458604,-2.425127093,-14.04241086
SRR5350155,P. sativum subsp. sativum - Primary,33.59247218,-8.140003821,-6.803558103
SRR5350156,P. sativum subsp. sativum - Primary,21.50002197,10.39782057,-2.00974213
SRR5350157,P. sativum subsp. sativum - Primary,21.51536836,11.66341395,-2.2051924
SRR5350158,P. sativum subsp. sativum - Primary,30.91416488,-6.958519466,-19.20891413
SRR5350159,P. sativum subsp. sativum - Primary,16.70518165,14.09987406,-5.087958915
SRR5350160,P. sativum subsp. sativum - Primary,11.98601847,20.89557559,-2.924707548
SRR5350161,P. sativum,9.661692184,24.24102563,-2.281518689
SRR5350162,P. sativum,37.84093965,-10.03677359,-1.931821948
SRR5350163,P. sativum,13.2889399,4.464834121,-25.48051283
SRR5350164,P. sativum,-4.573436958,9.547252567,-88.84217514
SRR5350165,P. sativum,27.91081394,-7.328928679,-5.217414663
SRR5350166,P. sativum subsp. sativum - Primary,45.36891394,-17.95338673,20.15227075
SRR5350167,P. sativum subsp. sativum - Primary,34.01337885,-10.91153323,-4.054127655
SRR5350168,P. sativum,17.70546592,-2.551007531,-31.07685298
SRR5350169,P. sativum subsp. sativum - Primary,40.01089107,-14.88231708,0.23085267
SRR5350170,P. sativum subsp. sativum - Primary,40.0508804,-15.24513688,0.982915933
SRR5350171,P. sativum,6.533804145,0.885600992,-31.59772524
SRR5350172,P. sativum,-28.15075446,18.19203123,-35.12647983
SRR5350173,P. sativum subsp. sativum - Primary,45.11349877,-20.81176391,22.43388284
SRR5350174,P. sativum,-8.721132399,42.99170579,2.181413096
SRR5350175,P. sativum,17.34028921,0.52846983,-16.17372854
SRR5350176,P. sativum,21.6230625,-5.274581044,-19.10198173
SRR5350177,P. sativum,30.11531054,-9.660718337,-7.727019196
SRR5350178,P. sativum,-16.90322133,19.65202555,-30.80511348
SRR5350179,P. sativum - Central Asia,-92.38457566,125.1607562,33.24379356
SRR5350180,P. sativum - Central Asia,-90.41348287,122.4184695,32.30380714
SRR5350181,P. sativum subsp. sativum - Primary,33.63966019,-13.94701345,11.74727463
SRR5350182,P. sativum subsp. sativum - Primary,39.72742317,-17.86990265,1.118700639
SRR5350183,P. sativum subsp. sativum - Primary,32.80003869,-9.528353346,-4.391064249
SRR5350184,P. sativum - Central Asia,-96.30315717,131.4544445,34.36330347
SRR5350185,P. sativum,-57.80708161,90.80692246,15.42930627
SRR5350186,P. sativum - Central Asia,-90.80381763,121.3674268,30.20140651
SRR5350187,P. sativum,13.21217318,2.574315395,-23.49281863
SRR5350188,P. sativum subsp. sativum - Primary,30.73236586,-5.896269999,-14.26604479
SRR5350189,P. sativum - Central Asia,-92.38081472,120.938855,29.6715545
SRR5350190,P. sativum,23.91009711,-0.497958013,-17.74644592
SRR5350191,P. sativum,23.70737001,6.353355746,-7.204030768
SRR5350192,P. sativum subsp. sativum - Primary,26.79183714,5.264815853,-12.30098297
SRR5350193,P. sativum,-20.03593854,52.09421122,7.781619371
SRR5350194,P. sativum subsp. sativum - Primary,13.30181605,17.59142947,-1.802127648
SRR5350195,P. sativum subsp. sativum - Primary,24.72623916,-0.720271557,-8.720026892
SRR5350196,P. sativum subsp. sativum - Primary,25.46979067,-3.601270191,-22.12748815
SRR5350197,P. sativum,25.39593368,-4.492781005,-8.110417345
SRR5350198,P. sativum,-44.05552152,55.80815783,0.378885637
SRR5350199,P. sativum subsp. sativum - Primary,30.45702551,-7.868263558,-8.250423576
SRR5350200,P. sativum subsp. sativum - Primary,36.22710261,-9.979285686,9.556065956
SRR5350201,P. sativum subsp. sativum - Primary,34.92729748,-8.565607285,9.845293698
SRR5350202,P. sativum,-58.90461417,92.36823458,12.15313472
SRR5350203,P. sativum - Central Asia,-65.22031267,89.07858823,9.638137573
SRR5350204,P. sativum,-45.73853665,63.83153694,-6.213923276
SRR5350205,P. sativum subsp. sativum - Primary,30.08273701,-4.754601272,-13.34420599
SRR5350206,P. sativum subsp. sativum - Primary,32.43212678,-5.985104016,-6.744181563
SRR5350207,P. sativum subsp. sativum - Primary,31.67881491,-9.441590221,-6.266459235
SRR5350208,P. sativum,19.0235405,-4.27707919,-22.91541719
SRR5350209,P. sativum,25.8884346,-5.307028033,-16.77357856
SRR5350210,P. sativum - Central Asia,-97.52224152,132.6448492,33.32921673
SRR5350211,P. sativum subsp. sativum - Primary,30.14722036,-0.946900405,5.108885302
SRR5350212,P. sativum subsp. sativum - Primary,13.66836651,13.74413897,-8.485094331
SRR5350213,P. sativum,13.48775789,-0.188143147,-34.2687512
SRR5350214,P. sativum,2.393194702,24.85258778,8.744308472
SRR5350215,P. sativum - Central Asia,-82.45766749,111.0689882,28.42455509
SRR5350216,P. fulvum,40.26862694,-16.85688871,40.79736761
SRR5350217,OSU,43.13139589,-19.15645428,48.99283222
SRR5350218,OSU,38.18026103,-8.845636872,-3.709532158
SRR5350219,OSU,37.96815371,-15.64909851,44.02284127
SRR5350220,OSU,47.29825245,-21.28044717,54.9226309
SRR5350221,P. sativum,46.9022165,-21.32214811,31.68272705
SRR5350222,P. sativum,10.60138354,8.70176239,0.59768118
SRR5350223,P. sativum,47.17833441,-22.81540565,40.15028188
SRR5350224,P. sativum,40.33014455,-19.59992713,28.52426358
SRR5350225,OSU,45.39722972,-18.22285781,50.31424499
SRR5350226,P. sativum,40.53692361,-17.90200592,4.833667792
SRR5350227,P. sativum,39.79655921,-16.39730282,1.062309567
SRR5350228,P. sativum,36.87304843,-14.11411629,10.45348134
SRR5350229,P. sativum,-2.559319963,-22.72347442,29.87190784